year,month,2015
2015,1,1978902
2015,2,1330944
2015,3,1667764
2015,4,1514003
2015,5,1485291
2015,6,1344599
2015,7,1241341
2015,8,1382540
2015,9,1647898
2015,10,1799667
2015,11,1950693
2015,12,2280788
2016,1,2280824
2016,2,1320797
2016,3,1841812
2016,4,1637910
2016,5,1703389
2016,6,1657961
2016,7,1574940
2016,8,1762678
2016,9,2166766
2016,10,2190000
2016,11,2380000
2016,12,2711209
2017,1,2020000
2017,2,1450000
2017,3,1906995
2017,4,1653255.55
2017,5,1740269
2017,6,1741490.58
2017,7,1671011.34
2017,8,1865642.737
2017,9,2210101.32
2017,10,2246940
2017,11,2438690.32
2017,12,2748066.867
2018,1,2240895
2018,2,1442750
2018,3,1982179
2018,4,1811968.083
2018,5,1804605.385
2018,6,1687504.372
2018,7,1579105.716
2018,8,1730000
2018,9,1900000
2018,10,1950343.92
2018,11,2020000
2018,12,2200000
